Date : 2023-08-11 15:20:51
Directory : /Users/kazimierzradzik/Desktop/drawtask
Total : 169 files,  8924 codes, 361 comments, 980 blanks, all 10265 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| lib/screens/main/profile_screen                                                                                  |          6 |        955 |          4 |         44 |      1,003 |
| lib/screens/main/profile_screen (Files)                                                                          |          1 |         96 |          0 |          9 |        105 |
| lib/screens/main/profile_screen/content                                                                          |          5 |        859 |          4 |         35 |        898 |
| lib/screens/main/profile_screen/content/drawings                                                                 |          1 |        113 |          0 |          5 |        118 |
| lib/screens/main/profile_screen/content/friends                                                                  |          4 |        746 |          4 |         30 |        780 |
| lib/screens/main/widgets                                                                                         |          8 |        594 |          0 |         36 |        630 |
| lib/screens/main/widgets (Files)                                                                                 |          5 |        408 |          0 |         26 |        434 |
| lib/screens/main/widgets/drawer                                                                                  |          3 |        186 |          0 |         10 |        196 |
| lib/screens/main/widgets/drawer (Files)                                                                          |          1 |        117 |          0 |          7 |        124 |
| lib/screens/main/widgets/drawer/drawer_tabs                                                                      |          2 |         69 |          0 |          3 |         72 |
| lib/screens/splash                                                                                               |          1 |         48 |          0 |          8 |         56 |
| lib/screens/widgets                                                                                              |          5 |        202 |          0 |         15 |        217 |
| lib/sockets                                                                                                      |          6 |        178 |         19 |         41 |        238 |
| linux                                                                                                            |          5 |         94 |         27 |         38 |        159 |
| linux (Files)                                                                                                    |          3 |         86 |         18 |         27 |        131 |
| linux/flutter                                                                                                    |          2 |          8 |          9 |         11 |         28 |
| macos                                                                                                            |          6 |        450 |          5 |         16 |        471 |
| macos/Flutter                                                                                                    |          1 |         12 |          3 |          4 |         19 |
| macos/Runner                                                                                                     |          4 |        431 |          0 |          8 |        439 |
| macos/Runner (Files)                                                                                             |          2 |         20 |          0 |          6 |         26 |
| macos/Runner/Assets.xcassets                                                                                     |          1 |         68 |          0 |          1 |         69 |
| macos/Runner/Assets.xcassets/AppIcon.appiconset                                                                  |          1 |         68 |          0 |          1 |         69 |
| macos/Runner/Base.lproj                                                                                          |          1 |        343 |          0 |          1 |        344 |
| macos/RunnerTests                                                                                                |          1 |          7 |          2 |          4 |         13 |
| test                                                                                                             |          1 |         14 |         10 |          7 |         31 |
| web                                                                                                              |          2 |         73 |         16 |          7 |         96 |
| windows                                                                                                          |         10 |        438 |         91 |        142 |        671 |
| windows/flutter                                                                                                  |          2 |         11 |          9 |         11 |         31 |
| windows/runner                                                                                                   |          8 |        427 |         82 |        131 |        640 |
+------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                         | language   | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| /Users/kazimierzradzik/Desktop/drawtask/README.md                                                                | Markdown   |         17 |          0 |         21 |         38 |
| /Users/kazimierzradzik/Desktop/drawtask/analysis_options.yaml                                                    | YAML       |          3 |         23 |          4 |         30 |
| /Users/kazimierzradzik/Desktop/drawtask/android/app/build.gradle                                                 | Groovy     |         53 |          5 |         12 |         70 |
| /Users/kazimierzradzik/Desktop/drawtask/android/app/src/debug/AndroidManifest.xml                                | XML        |          3 |          4 |          1 |          8 |
| /Users/kazimierzradzik/Desktop/drawtask/android/app/src/main/AndroidManifest.xml                                 | XML        |         28 |          6 |          1 |         35 |
| /Users/kazimierzradzik/Desktop/drawtask/android/app/src/main/res/drawable-v21/launch_background.xml              | XML        |          4 |          7 |          2 |         13 |
| /Users/kazimierzradzik/Desktop/drawtask/android/app/src/main/res/drawable/launch_background.xml                  | XML        |          4 |          7 |          2 |         13 |
| /Users/kazimierzradzik/Desktop/drawtask/android/app/src/main/res/values-night/styles.xml                         | XML        |          9 |          9 |          1 |         19 |
| /Users/kazimierzradzik/Desktop/drawtask/android/app/src/main/res/values/styles.xml                               | XML        |          9 |          9 |          1 |         19 |
| /Users/kazimierzradzik/Desktop/drawtask/android/app/src/profile/AndroidManifest.xml                              | XML        |          3 |          4 |          1 |          8 |
| /Users/kazimierzradzik/Desktop/drawtask/android/build.gradle                                                     | Groovy     |         27 |          0 |          5 |         32 |
| /Users/kazimierzradzik/Desktop/drawtask/android/gradle.properties                                                | Properties |          3 |          0 |          1 |          4 |
| /Users/kazimierzradzik/Desktop/drawtask/android/gradle/wrapper/gradle-wrapper.properties                         | Properties |          5 |          0 |          1 |          6 |
| /Users/kazimierzradzik/Desktop/drawtask/android/settings.gradle                                                  | Groovy     |         16 |          0 |          5 |         21 |
| /Users/kazimierzradzik/Desktop/drawtask/assets/avatars/green_avatar.json                                         | JSON       |          1 |          0 |          0 |          1 |
| /Users/kazimierzradzik/Desktop/drawtask/assets/avatars/grey_avatar.json                                          | JSON       |          1 |          0 |          0 |          1 |
| /Users/kazimierzradzik/Desktop/drawtask/assets/avatars/pink_avatar.json                                          | JSON       |          1 |          0 |          0 |          1 |
| /Users/kazimierzradzik/Desktop/drawtask/assets/avatars/purple_avatar.json                                        | JSON       |          1 |          0 |          0 |          1 |
| /Users/kazimierzradzik/Desktop/drawtask/assets/lottie/post.json                                                  | JSON       |          1 |          0 |          0 |          1 |
| /Users/kazimierzradzik/Desktop/drawtask/assets/svg/arrow_back.svg                                                | XML        |          3 |          0 |          1 |          4 |
| /Users/kazimierzradzik/Desktop/drawtask/assets/svg/background_animation.svg                                      | XML        |        216 |          4 |         20 |        240 |
| /Users/kazimierzradzik/Desktop/drawtask/assets/svg/drawings.svg                                                  | XML        |          4 |          0 |          1 |          5 |
| /Users/kazimierzradzik/Desktop/drawtask/assets/svg/eraser_tool.svg                                               | XML        |          3 |          0 |          2 |          5 |
| /Users/kazimierzradzik/Desktop/drawtask/assets/svg/hamburger.svg                                                 | XML        |          3 |          0 |          1 |          4 |
| /Users/kazimierzradzik/Desktop/drawtask/assets/svg/hi.svg                                                        | XML        |         10 |          0 |          1 |         11 |
| /Users/kazimierzradzik/Desktop/drawtask/assets/svg/home.svg                                                      | XML        |          3 |          0 |          1 |          4 |
| /Users/kazimierzradzik/Desktop/drawtask/assets/svg/new_game.svg                                                  | XML        |          3 |          0 |          1 |          4 |
| /Users/kazimierzradzik/Desktop/drawtask/assets/svg/pencil_tool.svg                                               | XML        |         10 |          0 |          1 |         11 |
| /Users/kazimierzradzik/Desktop/drawtask/assets/svg/post.svg                                                      | XML        |         36 |          0 |          3 |         39 |
| /Users/kazimierzradzik/Desktop/drawtask/assets/svg/profile.svg                                                   | XML        |          4 |          0 |          1 |          5 |
| /Users/kazimierzradzik/Desktop/drawtask/assets/svg/static_background.svg                                         | XML        |        149 |          0 |          1 |        150 |
| /Users/kazimierzradzik/Desktop/drawtask/assets/svg/tools/paint.svg                                               | XML        |          3 |          0 |          1 |          4 |
| /Users/kazimierzradzik/Desktop/drawtask/assets/svg/tools/palette.svg                                             | XML        |          3 |          0 |          1 |          4 |
| /Users/kazimierzradzik/Desktop/drawtask/assets/svg/tools/pen.svg                                                 | XML        |         11 |          0 |          1 |         12 |
| /Users/kazimierzradzik/Desktop/drawtask/assets/svg/tools/shapes.svg                                              | XML        |          4 |          0 |          1 |          5 |
| /Users/kazimierzradzik/Desktop/drawtask/ios/Runner/AppDelegate.swift                                             | Swift      |         12 |          0 |          2 |         14 |
| /Users/kazimierzradzik/Desktop/drawtask/ios/Runner/Assets.xcassets/AppIcon.appiconset/Contents.json              | JSON       |        122 |          0 |          1 |        123 |
| /Users/kazimierzradzik/Desktop/drawtask/ios/Runner/Assets.xcassets/LaunchImage.imageset/Contents.json            | JSON       |         23 |          0 |          1 |         24 |
| /Users/kazimierzradzik/Desktop/drawtask/ios/Runner/Assets.xcassets/LaunchImage.imageset/README.md                | Markdown   |          3 |          0 |          2 |          5 |
| /Users/kazimierzradzik/Desktop/drawtask/ios/Runner/Base.lproj/LaunchScreen.storyboard                            | XML        |         36 |          1 |          1 |         38 |
| /Users/kazimierzradzik/Desktop/drawtask/ios/Runner/Base.lproj/Main.storyboard                                    | XML        |         25 |          1 |          1 |         27 |
| /Users/kazimierzradzik/Desktop/drawtask/ios/Runner/Runner-Bridging-Header.h                                      | C++        |          1 |          0 |          1 |          2 |
| /Users/kazimierzradzik/Desktop/drawtask/ios/RunnerTests/RunnerTests.swift                                        | Swift      |          7 |          2 |          4 |         13 |
| /Users/kazimierzradzik/Desktop/drawtask/lib/blocs/auth/auth_bloc.dart                                            | Dart       |        102 |          1 |         11 |        114 |
| /Users/kazimierzradzik/Desktop/drawtask/lib/blocs/auth/auth_event.dart                                           | Dart       |         40 |          0 |         17 |         57 |
| /Users/kazimierzradzik/Desktop/drawtask/lib/blocs/auth/auth_state.dart                                           | Dart       |         25 |          0 |         10 |         35 |
| /Users/kazimierzradzik/Desktop/drawtask/lib/blocs/blocs.dart                                                     | Dart       |          5 |          0 |          1 |          6 |
| /Users/kazimierzradzik/Desktop/drawtask/lib/blocs/draw/draw_bloc.dart                                            | Dart       |        121 |          0 |         13 |        134 |
| /Users/kazimierzradzik/Desktop/drawtask/lib/blocs/draw/draw_event.dart                                           | Dart       |         35 |          0 |         10 |         45 |
| /Users/kazimierzradzik/Desktop/drawtask/lib/blocs/draw/draw_state.dart                                           | Dart       |          8 |          0 |          3 |         11 |
| /Users/kazimierzradzik/Desktop/drawtask/lib/blocs/drawings/drawings_bloc.dart                                    | Dart       |         25 |          0 |          5 |         30 |
| /Users/kazimierzradzik/Desktop/drawtask/lib/blocs/drawings/drawings_event.dart                                   | Dart       |          8 |          0 |          4 |         12 |
| /Users/kazimierzradzik/Desktop/drawtask/lib/blocs/drawings/drawings_state.dart                                   | Dart       |         19 |          0 |          8 |         27 |
| /Users/kazimierzradzik/Desktop/drawtask/lib/blocs/game/game_bloc.dart                                            | Dart       |         63 |          9 |         15 |         87 |
| /Users/kazimierzradzik/Desktop/drawtask/lib/blocs/game/game_event.dart                                           | Dart       |         39 |          0 |         12 |         51 |
| /Users/kazimierzradzik/Desktop/drawtask/lib/blocs/game/game_state.dart                                           | Dart       |         16 |          0 |          8 |         24 |
| /Users/kazimierzradzik/Desktop/drawtask/lib/blocs/user/user_bloc.dart                                            | Dart       |        134 |          0 |         18 |        152 |
| /Users/kazimierzradzik/Desktop/drawtask/lib/blocs/user/user_event.dart                                           | Dart       |         44 |          0 |         14 |         58 |
| /Users/kazimierzradzik/Desktop/drawtask/lib/blocs/user/user_state.dart                                           | Dart       |         41 |          0 |          8 |         49 |
| /Users/kazimierzradzik/Desktop/drawtask/lib/config/config.dart                                                   | Dart       |         10 |          4 |          6 |         20 |
| /Users/kazimierzradzik/Desktop/drawtask/lib/config/drawing/controller.dart                                       | Dart       |         19 |          4 |          4 |         27 |
| /Users/kazimierzradzik/Desktop/drawtask/lib/config/drawing/sketcher.dart                                         | Dart       |         64 |          1 |         14 |         79 |
| /Users/kazimierzradzik/Desktop/drawtask/lib/config/duration/duration_transformer.dart                            | Dart       |         30 |          3 |          8 |         41 |
| /Users/kazimierzradzik/Desktop/drawtask/lib/config/error_handling.dart                                           | Dart       |         25 |          0 |          4 |         29 |
| /Users/kazimierzradzik/Desktop/drawtask/lib/config/global_variables.dart                                         | Dart       |          1 |          1 |          2 |          4 |
| /Users/kazimierzradzik/Desktop/drawtask/lib/config/router/route_constants.dart                                   | Dart       |         20 |          4 |          8 |         32 |
| /Users/kazimierzradzik/Desktop/drawtask/lib/config/router/router.dart                                            | Dart       |        213 |         11 |         11 |        235 |
| /Users/kazimierzradzik/Desktop/drawtask/lib/config/router/stream_bloc.dart                                       | Dart       |         17 |          1 |          6 |         24 |
| /Users/kazimierzradzik/Desktop/drawtask/lib/config/utils/textFormFieldDecoration.dart                            | Dart       |         13 |          0 |          3 |         16 |
| /Users/kazimierzradzik/Desktop/drawtask/lib/config/utils/theme.dart                                              | Dart       |          7 |          0 |          3 |         10 |
| /Users/kazimierzradzik/Desktop/drawtask/lib/cubits/cubits.dart                                                   | Dart       |          1 |          0 |          0 |          1 |
| /Users/kazimierzradzik/Desktop/drawtask/lib/cubits/theme/theme_cubit.dart                                        | Dart       |         43 |          0 |          6 |         49 |
| /Users/kazimierzradzik/Desktop/drawtask/lib/cubits/theme/theme_state.dart                                        | Dart       |          8 |          0 |          3 |         11 |
| /Users/kazimierzradzik/Desktop/drawtask/lib/main.dart                                                            | Dart       |         84 |          0 |          6 |         90 |
| /Users/kazimierzradzik/Desktop/drawtask/lib/models/drawings.dart                                                 | Dart       |         39 |          0 |          9 |         48 |
| /Users/kazimierzradzik/Desktop/drawtask/lib/models/game.dart                                                     | Dart       |         65 |          0 |          9 |         74 |
| /Users/kazimierzradzik/Desktop/drawtask/lib/models/models.dart                                                   | Dart       |          6 |          0 |          1 |          7 |
| /Users/kazimierzradzik/Desktop/drawtask/lib/models/picture.dart                                                  | Dart       |         48 |          0 |         10 |         58 |
| /Users/kazimierzradzik/Desktop/drawtask/lib/models/sketch.dart                                                   | Dart       |         30 |          0 |          4 |         34 |
| /Users/kazimierzradzik/Desktop/drawtask/lib/models/user.dart                                                     | Dart       |         75 |          0 |          8 |         83 |
| /Users/kazimierzradzik/Desktop/drawtask/lib/models/vote.dart                                                     | Dart       |         26 |          0 |          7 |         33 |
| /Users/kazimierzradzik/Desktop/drawtask/lib/repositories/auth_repository.dart                                    | Dart       |        210 |          7 |         16 |        233 |
| /Users/kazimierzradzik/Desktop/drawtask/lib/repositories/drawings_repository.dart                                | Dart       |         50 |          0 |          5 |         55 |
| /Users/kazimierzradzik/Desktop/drawtask/lib/repositories/repositories.dart                                       | Dart       |          3 |          0 |          1 |          4 |
| /Users/kazimierzradzik/Desktop/drawtask/lib/repositories/user_repository.dart                                    | Dart       |        202 |          2 |          9 |        213 |
| /Users/kazimierzradzik/Desktop/drawtask/lib/screens/auth/auth_screen.dart                                        | Dart       |         57 |          0 |          7 |         64 |
| /Users/kazimierzradzik/Desktop/drawtask/lib/screens/auth/auth_tabs/auth_tab.dart                                 | Dart       |        117 |          0 |          7 |        124 |
| /Users/kazimierzradzik/Desktop/drawtask/lib/screens/auth/auth_tabs/create_tab.dart                               | Dart       |        137 |          0 |          9 |        146 |
| /Users/kazimierzradzik/Desktop/drawtask/lib/screens/auth/auth_tabs/sign_in.dart                                  | Dart       |        141 |          0 |          7 |        148 |
| /Users/kazimierzradzik/Desktop/drawtask/lib/screens/auth/auth_tabs/sign_up.dart                                  | Dart       |        157 |          0 |          6 |        163 |
| /Users/kazimierzradzik/Desktop/drawtask/lib/screens/auth/auth_tabs/verify_tab.dart                               | Dart       |        160 |          0 |         13 |        173 |
| /Users/kazimierzradzik/Desktop/drawtask/lib/screens/auth/loading_screen.dart                                     | Dart       |         88 |          0 |          6 |         94 |
| /Users/kazimierzradzik/Desktop/drawtask/lib/screens/main/dashboard_screen/dashboard_screen.dart                  | Dart       |         75 |          0 |          7 |         82 |
| /Users/kazimierzradzik/Desktop/drawtask/lib/screens/main/dashboard_screen/old_screen.dart                        | Dart       |        193 |          0 |         10 |        203 |
| /Users/kazimierzradzik/Desktop/drawtask/lib/screens/main/dashboard_screen/widgets/game_tab.dart                  | Dart       |        203 |          2 |         10 |        215 |
| /Users/kazimierzradzik/Desktop/drawtask/lib/screens/main/dashboard_screen/widgets/widgets.dart                   | Dart       |          1 |          0 |          0 |          1 |
| /Users/kazimierzradzik/Desktop/drawtask/lib/screens/main/dashboard_screen/zoom_widget.dart                       | Dart       |         22 |          0 |          3 |         25 |
| /Users/kazimierzradzik/Desktop/drawtask/lib/screens/main/drawing_screen/drawing_screen.dart                      | Dart       |        254 |          0 |         12 |        266 |
| /Users/kazimierzradzik/Desktop/drawtask/lib/screens/main/drawing_screen/widgets/colors_palette.dart              | Dart       |          0 |          0 |          1 |          1 |
| /Users/kazimierzradzik/Desktop/drawtask/lib/screens/main/drawing_screen/widgets/colors_tool.dart                 | Dart       |         66 |          0 |          6 |         72 |
| /Users/kazimierzradzik/Desktop/drawtask/lib/screens/main/drawing_screen/widgets/draw_timer.dart                  | Dart       |         38 |          0 |          6 |         44 |
| /Users/kazimierzradzik/Desktop/drawtask/lib/screens/main/drawing_screen/widgets/shape_palette.dart               | Dart       |          0 |          0 |          1 |          1 |
| /Users/kazimierzradzik/Desktop/drawtask/lib/screens/main/drawing_screen/widgets/shapes_tool.dart                 | Dart       |        153 |          0 |          4 |        157 |
| /Users/kazimierzradzik/Desktop/drawtask/lib/screens/main/drawing_screen/widgets/tools.dart                       | Dart       |        134 |          0 |          6 |        140 |
| /Users/kazimierzradzik/Desktop/drawtask/lib/screens/main/drawing_screen/widgets/top_buttons.dart                 | Dart       |         46 |          0 |          4 |         50 |
| /Users/kazimierzradzik/Desktop/drawtask/lib/screens/main/drawing_screen/widgets/widgets.dart                     | Dart       |          6 |          0 |          0 |          6 |
| /Users/kazimierzradzik/Desktop/drawtask/lib/screens/main/drawing_screen/widgets/width_tool.dart                  | Dart       |         62 |          0 |          6 |         68 |
| /Users/kazimierzradzik/Desktop/drawtask/lib/screens/main/friends_game_screen.dart                                | Dart       |         12 |          0 |          3 |         15 |
| /Users/kazimierzradzik/Desktop/drawtask/lib/screens/main/game_screen.dart                                        | Dart       |        333 |          0 |          8 |        341 |
| /Users/kazimierzradzik/Desktop/drawtask/lib/screens/main/home_screen.dart                                        | Dart       |         35 |          0 |          4 |         39 |
| /Users/kazimierzradzik/Desktop/drawtask/lib/screens/main/joining_to_game_screen.dart                             | Dart       |         23 |          0 |          5 |         28 |
| /Users/kazimierzradzik/Desktop/drawtask/lib/screens/main/new_game_screen.dart                                    | Dart       |         49 |          0 |          7 |         56 |
| /Users/kazimierzradzik/Desktop/drawtask/lib/screens/main/new_game_screen/new_game_screen.dart                    | Dart       |         48 |          0 |          7 |         55 |
| /Users/kazimierzradzik/Desktop/drawtask/lib/screens/main/new_game_screen/widgets/new_game_button.dart            | Dart       |         29 |          0 |          3 |         32 |
| /Users/kazimierzradzik/Desktop/drawtask/lib/screens/main/new_game_screen/widgets/new_game_tab.dart               | Dart       |         85 |          0 |          3 |         88 |
| /Users/kazimierzradzik/Desktop/drawtask/lib/screens/main/profile_screen/content/drawings/drawings.dart           | Dart       |        113 |          0 |          5 |        118 |
| /Users/kazimierzradzik/Desktop/drawtask/lib/screens/main/profile_screen/content/friends/friends_content 2.dart   | Dart       |         79 |          2 |          9 |         90 |
| /Users/kazimierzradzik/Desktop/drawtask/lib/screens/main/profile_screen/content/friends/friends_content.dart     | Dart       |         81 |          2 |          9 |         92 |
| /Users/kazimierzradzik/Desktop/drawtask/lib/screens/main/profile_screen/content/friends/friends_list.dart        | Dart       |        405 |          0 |          6 |        411 |
| /Users/kazimierzradzik/Desktop/drawtask/lib/screens/main/profile_screen/content/friends/old_friends_content.dart | Dart       |        181 |          0 |          6 |        187 |
| /Users/kazimierzradzik/Desktop/drawtask/lib/screens/main/profile_screen/profile_screen.dart                      | Dart       |         96 |          0 |          9 |        105 |
| /Users/kazimierzradzik/Desktop/drawtask/lib/screens/main/score_screen.dart                                       | Dart       |        122 |          0 |          4 |        126 |
| /Users/kazimierzradzik/Desktop/drawtask/lib/screens/main/user_screen.dart                                        | Dart       |         33 |          0 |          4 |         37 |
| /Users/kazimierzradzik/Desktop/drawtask/lib/screens/main/widgets/app_bar.dart                                    | Dart       |        191 |          0 |         10 |        201 |
| /Users/kazimierzradzik/Desktop/drawtask/lib/screens/main/widgets/avatar.dart                                     | Dart       |         31 |          0 |          3 |         34 |
| /Users/kazimierzradzik/Desktop/drawtask/lib/screens/main/widgets/bottom_nav_bar.dart                             | Dart       |        133 |          0 |          8 |        141 |
| /Users/kazimierzradzik/Desktop/drawtask/lib/screens/main/widgets/custom_text_button.dart                         | Dart       |         48 |          0 |          4 |         52 |
| /Users/kazimierzradzik/Desktop/drawtask/lib/screens/main/widgets/drawer/drawer.dart                              | Dart       |        117 |          0 |          7 |        124 |
| /Users/kazimierzradzik/Desktop/drawtask/lib/screens/main/widgets/drawer/drawer_tabs/about_us.dart                | Dart       |         68 |          0 |          3 |         71 |
| /Users/kazimierzradzik/Desktop/drawtask/lib/screens/main/widgets/drawer/drawer_tabs/tabs.dart                    | Dart       |          1 |          0 |          0 |          1 |
| /Users/kazimierzradzik/Desktop/drawtask/lib/screens/main/widgets/widgets.dart                                    | Dart       |          5 |          0 |          1 |          6 |
| /Users/kazimierzradzik/Desktop/drawtask/lib/screens/screens.dart                                                 | Dart       |         12 |          3 |          5 |         20 |
| /Users/kazimierzradzik/Desktop/drawtask/lib/screens/splash/splash_screen.dart                                    | Dart       |         48 |          0 |          8 |         56 |
| /Users/kazimierzradzik/Desktop/drawtask/lib/screens/widgets/animated_tab.dart                                    | Dart       |         29 |          0 |          3 |         32 |
| /Users/kazimierzradzik/Desktop/drawtask/lib/screens/widgets/custom_text_form_field.dart                          | Dart       |         82 |          0 |          4 |         86 |
| /Users/kazimierzradzik/Desktop/drawtask/lib/screens/widgets/main_button.dart                                     | Dart       |         62 |          0 |          5 |         67 |
| /Users/kazimierzradzik/Desktop/drawtask/lib/screens/widgets/shadow_container.dart                                | Dart       |         25 |          0 |          3 |         28 |
| /Users/kazimierzradzik/Desktop/drawtask/lib/screens/widgets/widgets.dart                                         | Dart       |          4 |          0 |          0 |          4 |
| /Users/kazimierzradzik/Desktop/drawtask/lib/sockets/auth_socket.dart                                             | Dart       |         26 |          1 |          5 |         32 |
